Billing Code,Category,Description,Charge $,Charge T,Charge P,Charge P1
E193,,,393,,,
E194,,,289,,,
E195,,,241.7,,,
E196,,,290,,,
E197,,,310,,,
E198,,,300,,,
E199,,,225,,,
E200,,,82.8,,,
E201,,,205.55,,,
E202,,,200,,,
E205,,,355,,,
E206,,,175,,,
E207,,,453,,,
E208,,,225,,,
E210,,,100,,,
E211,,,288.35,,,
E212,,,210,,,
E213,,,262.5,,,
E214,,,729,,,
E215,,,496,,,
E216,,,350,,,
E217,,,411.2,,,
E218,,,542,,,
E219,,,250,,,
E221,,,329.3,,,
E222,,,290,,,
E223,,,484.35,,,
E224,,,108.45,,,
E225,,,484.35,,,
E226,,,108.45,,,
E227,,,514.8,,,
E228,,,535.8,,,
E229,,,535.8,,,
E230,,,257.9,,,
E231,,,267.35,,,
E232,,,412.05,,,
E233,,,153.25,,,
E234,,,51.45,,,
E235,,,107.5,,,
E236,,,255,,,
E300,,,248.05,,,
E301,,,355.35,,,
E302,,,202.35,,,
E303,,,202.35,,,
E304,,,619.35,,,
E305,,,155.3,,,
E306,,,291.5,,,
E307,,,219.6,,,
E308,,,345.15,,,
E309,,,208.05,,,
E310,,,247.35,,,
E311,,,243.35,,,
E312,,,355.4,,,
E313,,,362.55,,,
E314,,,297.25,,,
E315,,,674,,,
E316,,,395.05,,,
E317,,,139.95,,,
E318,,,92.4,,,
E319,,,345.3,,,
E320,,,345.15,,,
E321,,,612.7,,,
E322,,,627.1,,,
E323,,,209.05,,,
E325,,,642.45,,,
E326,,,987.65,,,
E327,,,252.15,,,
E328,,,288.5,,,
E329,,,370.1,,,
E331,,,673.65,,,
E332,,,548.45,,,
E333,,,406.55,,,
E335,,,637.15,,,
E336,,,345.15,,,
E337,,,468.85,,,
E339,,,661.55,,,
E341,,,737.3,,,
E345,,,1379.1,,,
E346,,,345.15,,,
E360,,,306,,,
E361,,,255,,,
E362,,,153,,,
E363,,,357,,,
E364,,,102,,,
E365,,,765,,,
E366,,,153,,,
E367,,,255,,,
E368,,,306,,,
E369,,,255,,,
E370,,,867,,,
E371,,,816,,,
E372,,,510,,,
E373,,,0,,,
E374,,,357,,,
E375,,,0,,,
E376,,,255,,,
E377,,,255,,,
E378,,,510,,,
E379,,,510,,,
E380,,,357,,,
E382,,,244.8,,,
E383,,,255,,,
E384,,,1020,,,
E385,,,71.4,,,
E386,,,0,,,
E387,,,153,,,
E388,,,204,,,
E389,,,102,,,
E390,,,255,,,
E391,,,252.95,,,
E392,,,510,,,
E393,,,510,,,
E394,,,765,,,
E395,,,306,,,
E396,,,71.4,,,
E400B,,,0,,,
E400C,,,0,,,
E401B,,,0,,,
E401C,,,0,,,
E402,,,0,,,
E403,,,0,,,
E406,,,60,,,
E407,,,75,,,
E408,,,100,,,
E409,,,0,,,
E410,,,0,,,
E411,,,0,,,
E412,,,0,,,
E413,,,0,,,
E414,,,62.05,,,
E420,,,0,,,
E423,,,25,,,
E424,,,50,,,
E430,,,11.95,,,
E431,,,11.95,,,
E440,,,30,,,
E441,,,16.6,,,
E442,,,20,,,
E443,,,80,,,
E444,,,0,,,
E445,,,0,,,
E446,,,30,,,
E450,,,0,13.3,8.05,
E451,,,0,18.1,25.05,
E475,,,0,0,25,
E476,,,192,,,
E477,,,192,,,
E478,,,251.55,,,
E479,,,192,,,
E480,,,350.65,,,
E481,,,500,,,
E482,,,251.55,,,
E483,,,326.55,,,
E484,,,336.65,,,
E485,,,240.5,,,
E487,,,240,,,
E488,,,350,,,
E489,,,250,,,
E490,,,500,,,
E491,,,161.45,,,
E492,,,231.3,,,
E493,,,251.55,,,
E494,,,299,,,
E495,,,240.45,,,
E496,,,336.65,,,
E497,,,526.4,,,
E498,,,299,,,
E499,,,397.75,,,
E500,,,148.6,,,
E501,,,304.3,,,
E502,,,51,,,
E503,,,26.85,,,
E504,,,22.2,,,
E505,,,178.05,,,
E508,,,85,,,
E509,,,805.65,,,
E510,,,838.15,,,
E511,,,100,,,
E512,,,100,,,
E513,,,297.5,,,
E514,,,200,,,
E515,,,0,,,
E518,,,77.5,,,
E519,,,77.5,,,
E520,,,77.5,,,
E521,,,200,,,
E523,,,321,,,
E524,,,273.45,,,
E525,,,48.05,,,
E527,,,58.95,,,
E528,,,258.5,,,
E529,,,102.45,,,
E530,,,50.4,,,
E531,,,0,,,
E532,,,0,,,
E537,,,165.2,,,
E538,,,38,,,
E539,,,117.85,,,
E540,,,0,,,
E541,,,11.55,,,
E542,,,11.55,,,
E543,,,30.6,,,
E544,,,0,,,
E545,,,11.55,,,
E546,,,388.75,,,
E547,,,59.4,,,
E550,,,63.15,,,
E551,,,86.3,,,
E552,,,58.45,,,
E553,,,25.15,,,
E554,,,175,,,
E555,,,0,,,
E556,,,0,,,
E557,,,154,,,
E558,,,22.25,,,
E559,,,142.9,,,
E560,,,12.05,,,
E561,,,14.9,,,
E564,,,0,,,
E569,,,0,,,
E571,,,148.75,,,
E575,,,41.7,,,
E576,,,10.25,,,
E577,,,10.25,,,
E578,,,10.25,,,
E579,,,10.25,,,
E580,,,70.95,,,
E581,,,128.95,,,
E582,,,32.2,,,
E583,,,94.6,,,
E584,,,11.15,,,
E585,,,47.3,,,
E586,,,0,,,
E587,,,41.7,,,
E588,,,256.4,,,
E589,,,101.25,,,
E590,,,76.1,,,
E591,,,158.65,,,
E592,,,133.05,,,
E593,,,194,,,
E594,,,41.7,,,
E596,,,41.7,,,
E597,,,87.05,,,
E598,,,94.6,,,
E599,,,87.2,,,
E600,,,33.6,,,
E601,,,57.5,,,
E602,,,177.95,,,
E603,,,50.9,,,
E604,,,55.6,,,
E605,,,55.6,,,
E607,,,152.3,,,
E608,,,84.15,,,
E609,,,121.7,,,
E610,,,263.8,,,
E611,,,145,,,
E612,,,338.35,,,
E613,,,500,,,
E614,,,162.45,,,
E615,,,250,,,
E616,,,142.1,,,
E617,,,78.8,,,
E618,,,121.85,,,
E619,,,162.45,,,
E620,,,78.8,,,
E621,,,45.85,,,
E622,,,79.4,,,
E623,,,415.15,,,
E624,,,111.2,,,
E625,,,142.2,,,
E626,,,174.35,,,
E627,,,400,,,
E628,,,194.5,,,
E629,,,137.05,,,
E630,,,137.05,,,
E631,,,314.2,,,
E632,,,68.4,,,
E633,,,44.55,,,
E634,,,52,,,
E635,,,67.2,,,
E636,,,50,,,
E637,,,76.45,,,
E638,,,81.9,,,
E639,,,78.5,,,
E640,,,179.55,,,
E641,,,137.05,,,
E642,,,119.2,,,
E643,,,121.65,,,
E644,,,400,,,
E645,,,371,,,
E646,,,187.8,,,
E647,,,264.7,,,
E648,,,135.8,,,
E649,,,112.45,,,
E650,,,371,,,
E651,,,202.05,,,
E652,,,187.85,,,
E653,,,127.15,,,
E654,,,188.85,,,
E655,,,348.7,,,
E656,,,288.85,,,
E657,,,446.5,,,
E658,,,278.1,,,
E659,,,169,,,
E660,,,185.15,,,
E661,,,185.15,,,
E662,,,49.75,,,
E663,,,183,,,
E664,,,127.05,,,
E665,,,419,,,
E666,,,52.3,,,
E667,,,266.6,,,
E668,,,93.8,,,
E669,,,102.75,,,
E670,,,224.7,,,
E671,,,543.6,,,
E672,,,133.4,,,
E673,,,62.05,,,
E674,,,142.4,,,
E675,,,73.5,,,
E676A,,,0,,,
E676B,,,0,,,
E677,,,104,,,
E678,,,104,,,
E679,,,124.1,,,
E680,,,82.35,,,
E681,,,43.6,,,
E682,,,423.85,,,
E683,,,0,,,
E684,,,214.1,,,
E685,,,227.65,,,
E686,,,144.1,,,
E687,,,69.8,,,
E688,,,69.8,,,
E690,,,43.85,,,
E691,,,178.4,,,
E692,,,69.7,,,
E693,,,0,,,
E694,,,0,,,
E695,,,0,,,
E696,,,30.65,,,
E697,,,142.4,,,
E698,,,69.7,,,
E700,,,13.4,,,
E702,,,15.1,,,
E703,,,50.5,,,
E704,,,46.5,,,
E705,,,30.3,,,
E706,,,122.05,,,
E707,,,70.8,,,
E708,,,122.05,,,
E709,,,122.05,,,
E710,,,45.55,,,
E711,,,106.55,,,
E712,,,111.1,,,
E713,,,137.55,,,
E714,,,82.35,,,
E715,,,74.9,,,
E716,,,147.3,,,
E717,,,27.05,,,
E718,,,142.4,,,
E720,,,77.5,,,
E721,,,122.05,,,
E722,,,162.7,,,
E723,,,284.8,,,
E724,,,23.25,,,
E725,,,130,,,
E726,,,226,,,
E727,,,65.9,,,
E728,,,167.65,,,
E729,,,284.75,,,
E730,,,740.95,,,
E731,,,247.05,,,
E732,,,29.1,,,
E733,,,142.4,,,
E734,,,211.15,,,
E735,,,284.75,,,
E736,,,187.9,,,
E737,,,82.35,,,
E738,,,387.4,,,
E739,,,122.05,,,
E740,,,51.75,,,
E741,,,31.15,,,
E742,,,217.35,,,
E743,,,153.05,,,
E744,,,115.8,,,
E745,,,94.85,,,
E746,,,5.85,,,
E747,,,31.15,,,
E748,,,122.05,,,
E749,,,22.35,,,
E750,,,26.05,,,
E751,,,54.7,,,
E752,,,83.25,,,
E753,,,241.2,,,
E754,,,57.5,,,
E755,,,69.3,,,
E756,,,24.5,,,
E757,,,55.25,,,
E758,,,217.35,,,
E759,,,95.95,,,
E760,,,167.85,,,
E761,,,95.95,,,
E762,,,301.05,,,
E764,,,24.2,,,
E765,,,300.45,,,
E766,,,29.7,,,
E767,,,138.15,,,
E768,,,236.7,,,
E769,,,260.05,,,
E770,,,23.1,,,
E771,,,343.4,,,
E772,,,175.5,,,
E773,,,49.9,,,
E775,,,15.35,,,
E776,,,24.9,,,
E777,,,11.5,,,
E780,,,32.6,,,
E781,,,49.9,,,
E782,,,49.9,,,
E783,,,99.65,,,
E784,,,49.85,,,
E785,,,54.25,,,
E786,,,99.7,,,
E787,,,260.4,,,
E788,,,99.7,,,
E789,,,99.7,,,
E790,,,8.8,,,
E791,,,26,,,
E792,,,0,,,
E793,,,0,,,
E794,,,35.85,,,
E795,,,46.3,,,
E796,,,102.4,,,
E797,,,46.3,,,
E798,,,69.7,,,
E799,,,25.25,,,
E800,,,101.5,,,
E801,,,152.3,,,
E802,,,50.75,,,
E803,,,30.65,,,
E804,,,145.05,,,
E805,,,203.05,,,
E807,,,2644.75,,,
E808,,,150,,,
E809,,,250,,,
E815,,,398.15,,,
E817,,,15.35,,,
E818,,,24.9,,,
E819,,,54.65,,,
E820,,,49.75,,,
E822,,,37.7,,,
E823,,,233.65,,,
E824,,,49.85,,,
E825,,,63.95,,,
E826,,,0,,,
E827,,,600,,,
E828,,,104,,,
E829,,,300,,,
E830,,,107.2,,,
E831,,,0,,,
E832,,,273.85,,,
E833,,,116.1,,,
E837,,,50.75,,,
E838,,,79.4,,,
E839,,,19.2,,,
E840,,,119.2,,,
E841,,,226.8,,,
E842,,,58.6,,,
E843,,,103.05,,,
E844,,,200,,,
E845,,,140,,,
E846,,,95.7,,,
E847,,,75,,,
E848,,,80,,,
E849,,,220,,,
E852,,,49.25,,,
E853,,,145,,,
E854,,,170,,,
E855,,,25.85,,,
E857,,,78.45,,,
E860,,,131.45,,,
E861,,,9,,,
E862,,,0,,,
E863,,,0,,,
E870,,,8.35,,,
E874,,,0,0,64,0
E875,,,0,0,19.4,0
E876,,,0,0,9.7,0
E877,,,0,,,
E880,,,184.6,,,
E882,,,177.4,,,
E883,,,266.6,,,
E884,,,374,,,
E885,,,106,,,
E886,,,800,,,
E887,,,500,,,
E888,,,500,,,
E889,,,520,,,
E890,,,520,,,
E891,,,520,,,
E892,,,500,,,
E893,,,555,,,
E894,,,229.55,,,
E895,,,373.8,,,
E896,,,400.4,,,
E898,,,283.8,,,
E899,,,102.45,,,
E901,,,234.65,,,
E902,,,454.15,,,
E903,,,614.7,,,
E904,,,241,,,
E905,,,750,,,
E906,,,0,,,
E908,,,304.3,,,
E911,,,0,,,
E912,,,233.3,,,
E916,,,233.3,,,
E917,,,301.7,,,
E918,,,132.8,,,
E919,,,254.45,,,
E921,,,262.15,,,
E922,,,215.35,,,
E925,,,0,,,
E930,,,102.35,,,
E931,,,222.85,,,
E932,,,205,,,
E933,,,99.85,,,
E934,,,204.8,,,
E935,,,307.7,,,
E936,,,90,,,
E937,,,100,,,
E938,,,213.2,,,
E939,,,150,,,
E940,,,105,,,
E941,,,296.9,,,
E942,,,53.2,,,
E943,,,89.45,,,
E944,,,175.15,,,
E945,,,52.4,,,
E946,,,106.45,,,
E947,,,306.85,,,
E948,,,113.2,,,
E949,,,180,,,
E950,,,92.5,,,
E951,,,52.4,,,
E953,,,80.9,,,
E954,,,80.9,,,
E955,,,202.35,,,
E956,,,399.9,,,
E957,,,138.05,,,
E958,,,0,,,
E959,,,106.45,,,
E960,,,103.8,,,
E961,,,296.6,,,
E962,,,594.2,,,
E963,,,296.6,,,
E964,,,594.2,,,
E965,,,296.6,,,
E966,,,594.2,,,
E967,,,256.4,,,
E968,,,511.9,,,
E969,,,204.8,,,
E970,,,307.15,,,
E971,,,383.65,,,
E972,,,511.9,,,
E973,,,178.9,,,
E974,,,297.55,,,
E975,,,76.5,,,
E976,,,154,,,
E977,,,0,,,
E979,,,396.7,,,
E981,,,132.35,,,
E982,,,0,,,
E983,,,0,,,
E984,,,137.5,,,
E985,,,106.45,,,
E986,,,250,,,
F004,,,49.2,,,
F005,,,99.25,,,
F006,,,119.75,,,
F007,,,298.45,,,
F008,,,49.2,,,
F009,,,99.25,,,
F010,,,335.8,,,
F011,,,262.6,,,
F012,,,49.2,,,
F013,,,119.8,,,
F014,,,67.75,,,
F015,,,335.8,,,
F016,,,115.1,,,
F017,,,346.15,,,
F018,,,49.2,,,
F019,,,480,,,
F020,,,193,,,
F021,,,392.4,,,
F022,,,144.8,,,
F023,,,416.65,,,
F024,,,67.75,,,
F025,,,148.5,,,
F026,,,567.15,,,
F027,,,67.75,,,
F028,,,109.45,,,
F029,,,67.75,,,
F030,,,522.2,,,
F031,,,81.3,,,
F032,,,117.85,,,
F033,,,438.05,,,
F034,,,126.25,,,
F035,,,129,,,
F036,,,494.1,,,
F037,,,126.25,,,
F038,,,214.45,,,
F039,,,67.75,,,
F040,,,298.35,,,
F041,,,983.45,,,
F042,,,67.8,,,
F043,,,147.6,,,
F044,,,655.5,,,
F045,,,312.7,,,
F046,,,149.35,,,
F047,,,67.8,,,
F048,,,117.85,,,
F049,,,290.55,,,
F050,,,67.8,,,
F051,,,183.8,,,
F052,,,559.85,,,
F053,,,67.8,,,
F054,,,133.6,,,
F055,,,514.95,,,
F056,,,49.2,,,
F057,,,77.95,,,
F058,,,72.35,,,
F059,,,144.8,,,
F060,,,172.3,,,
F061,,,49.2,,,
F062,,,67.75,,,
F063,,,98.35,,,
F064,,,178.2,,,
F065,,,249.65,,,
F066,,,98.1,,,
F067,,,165.2,,,
F068,,,454.35,,,
F070,,,97.35,,,
F071,,,161.45,,,
F072,,,588.2,,,
F074,,,67.75,,,
F075,,,144.8,,,
F076,,,309.7,,,
F077,,,571.3,,,
F078,,,115.95,,,
F079,,,180.05,,,
F080,,,604.15,,,
F081,,,660,,,
F082,,,67.75,,,
F083,,,101.25,,,
F084,,,230.2,,,
F085,,,67.75,,,
F087,,,288.25,,,
F094,,,258,,,
F095,,,407.35,,,
F096,,,670,,,
F097,,,258.9,,,
F098,,,426.9,,,
F099,,,408.3,,,
F100,,,659.45,,,
F101,,,669.6,,,
F102,,,49.2,,,
F104,,,242.25,,,
F108,,,644.3,,,
F110,,,62.2,,,
F115,,,208.8,,,
F118,,,458.75,,,
F119,,,67.8,,,
F121,,,799.25,,,
F123,,,115.95,,,
F124,,,0,,,
F125,,,0,,,
F131,,,0,,,
F134,,,442.45,,,
F135,,,680.3,,,
F136,,,102.35,,,
F137,,,316.35,,,
F138,,,350,,,
F139,,,575,,,
F140,,,100,,,
F142,,,685.2,,,
F143,,,577.65,,,
F144,,,1594.9,,,
F146,,,0,,,
F150,,,256.4,,,
F200,,,178.5,,,
F201,,,280.5,,,
G001,,,5.7,,,
G002,,,2.26,,,
G004,,,1.58,,,
G005,,,3.88,,,
G009,,,4.45,,,
G010,,,2.64,,,
G011,,,13.05,,,
G012,,,1.93,,,
G014,,,5.7,,,
G015,,,11.37,,,
G016,,,9.82,,,
G017,,,14.48,,,
G018,,,28.44,,,
G019,,,9.31,,,
G020,,,14.48,,,
G021,,,15.51,,,
G022,,,14.48,,,
G023,,,25.85,,,
G024,,,38.78,,,
G025,,,20.68,,,
G026,,,31.02,,,
G027,,,11.37,,,
G028,,,10.34,,,
G029,,,28.44,,,
G030,,,5.17,,,
G031,,,6.4,,,
G032,,,23.27,,,
G033,,,23.27,,,
G034,,,15.51,,,
G035,,,7.76,,,
G036,,,10.34,,,
G037,,,20.68,,,
G039,,,1.03,,,
G040,,,15,,,
G041,,,3.7,,,
G042,,,2.5,,,
G043,,,7.5,,,
G050,,,203.05,,,
G060,,,55,,,
G061,,,30,,,
G062,,,160,,,
G063,,,29.2,,,
G064,,,20,,,
G065,,,62.5,,,
G066,,,55,,,
G067,,,80,,,
G068,,,125,,,
G075,,,30.5,,,
G082,,,380.75,,,
G083,,,380.75,,,
G085,,,369.65,,,
G090,,,317.25,,,
G094,,,67,,,
G096,,,67,,,
G098,,,32.35,,,
G099,,,168.4,,,
G100,,,32.35,,,
G101,,,33.55,,,
G103,,,6.05,,,
G104,,,0,19.6,0,0
G105,,,0,0,20.9,0
G108,,,20.2,,,
G111,,,0,53.6,0,0
G112,,,0,0,74.25,0
G115,,,46.3,,,
G117,,,170,,,
G118,,,130,,,
G119,,,190,,,
G120,,,0,0,7,0
G121,,,0,13.25,0,0
G123,,,17.1,,,
G125,,,100,,,
G126,,,0,0,7,0
G127,,,0,13.25,0,0
G138,,,0,0,71.65,0
G140,,,0,42.4,0,0
G141,,,0,0,19.15,0
G143,,,0,38,0,0
G144,,,0,0,19.15,0
G146,,,0,38,0,0
G147,,,0,0,12.3,0
G149,,,0,18.55,0,0
G150,,,0,0,19.2,0
G152,,,0,31.8,0,0
G153,,,0,10.3,0,0
G154,,,0,0,41.7,0
G166,,,0,0,10.45,0
G167,,,0,7,0,0
G174,,,0,49.35,0,0
G175,,,21.85,,,
G176,,,334.25,,,
G177,,,416.8,,,
G178,,,352.05,,,
G179,,,111.2,,,
G180,,,0,0,16.95,0
G181,,,0,12.2,0,0
G185,,,184.95,,,
G190,,,184.95,,,
G191,,,12.4,,,
G192,,,73.65,,,
G193,,,43.85,,,
G194,,,8.35,,,
G195,,,17,,,
G196,,,17,,,
G197,,,0,0,0.37,0
G198,,,2.39,,,
G199,,,40,,,
G200,,,8.65,,,
G201,,,1.6,,,
G202,,,4.45,,,
G203,,,1.6,,,
G204,,,12.4,,,
G205,,,13.15,,,
G206,,,2.39,,,
G207,,,14.15,,,
G208,,,21.25,,,
G209,,,0,0.72,0,0
G210,,,190.75,,,
G211,,,38.35,,,
G212,,,9.75,,,
G213,,,13.8,,,
G214,,,54.65,,,
G217,,,200,,,
G218,,,54.65,,,
G219,,,34.2,,,
G220,,,34.2,,,
G221,,,16.95,,,
G223,,,17.1,,,
G224,,,15.55,,,
G225,,,34.2,,,
G226,,,82.45,,,
G227,,,54.65,,,
G228,,,34.1,,,
G229,,,54.65,,,
G230,,,54.65,,,
G231,,,34.1,,,
G232,,,150,,,
G233,,,200,,,
G234,,,55.1,,,
G235,,,34.1,,,
G236,,,150,,,
G238,,,34.1,,,
G239,,,127.6,,,
G240,,,82.45,,,
G241,,,54.65,,,
G242,,,82.45,,,
G243,,,54.65,,,
G244,,,81.95,,,
G245,,,180,,,
G246,,,150,,,
G247,,,30.1,,,
G248,,,55,,,
G249,,,231.65,,,
G250,,,75.1,,,
G251,,,0,0,27.05,0
G254,,,34.7,,,
G256,,,34.1,,,
G257,,,77.25,,,
G258,,,44.25,,,
G259,,,383.3,,,
G260,,,80,,,
G261,,,331.05,,,
G262,,,210.4,,,
G263,,,96.45,,,
G264,,,34.1,,,
G265,,,17.1,,,
G266,,,278.85,,,
G267,,,270.05,,,
G268,,,31.25,,,
G269,,,31.25,,,
G270,,,23.9,,,
G271,,,12.75,,,
G272,,,0,,,
G275,,,205.45,,,
G276,,,15.35,,,
G277,,,82,,,
G278,,,41.8,,,
G279,,,80,,,
G280,,,186.9,,,
G281,,,7.7,,,
G282,,,19.9,,,
G283,,,11.3,,,
G284,,,9.3,,,
G285,,,32.9,,,
G286,,,32.9,,,
G287,,,82,,,
G288,,,200,,,
G289,,,110.95,,,
G290,,,41.8,,,
G291,,,19.85,,,
G292,,,10,,,
G296,,,110.95,,,
G297,,,117.55,,,
G298,,,78.95,,,
G299,,,110.95,,,
G300,,,110.95,,,
G301,,,122.4,,,
G303,,,51.25,,,
G305,,,122.4,,,
G306,,,110.95,,,
G307,,,0,0,9.55,
G308,,,0,9.3,,
G309,,,45.55,,,
G310,,,0,7,,
G311,,,0,2.03,,
G312,,,15.4,,,
G313,,,0,0,4.45,
G314,,,112,,,
G315,,,0,45.95,,
G317,,,0,0,27.8,
G319,,,0,0,62.05,
G320,,,0,0,4.3,
G321,,,0,0,47.65,
G322,,,9.6,,,
G323,,,177.1,,,
G324,,,102.95,,,
G325,,,354.2,,,
G327,,,77.3,,,
G328,,,39.8,,,
G329,,,20.25,,,
G330,,,237.4,,,
G331,,,213.7,,,
G332,,,0,0,122.25,
G334,,,4.05,,,
G336,,,17.65,,,
G337,,,16.95,,,
G338,,,24.9,,,
G340,,,45.45,,,
G341,,,16.95,,,
G342,,,31.05,,,
G344,,,42.3,,,
G345,,,75,,,
G347,,,96.35,,,
G348,,,96.35,,,
G349,,,45.3,,,
G350,,,0,0,76.05,
G351,,,0,0,31.85,
G352,,,9.6,,,
G353,,,0,0,28.75,
G354,,,0,0,38.5,
G355,,,9.6,,,
G356,,,33.8,,,
G357,,,19.55,,,
G358,,,24.9,,,
G359,,,105.15,,,
G362,,,6.25,,,
G363,,,22,,,
G365,,,12,,,
G366,,,148.5,,,
G369,,,5.3,,,
G370,,,20.25,,,
G371,,,19.9,,,
G372,,,3.89,,,
G373,,,6.75,,,
G374,,,54.3,,,
G375,,,8.85,,,
G376,,,10.2,,,
G377,,,13.3,,,
G378,,,39.95,,,
G379,,,6.15,,,
G380,,,27.05,,,
G381,,,54.25,,,
G382,,,13.95,,,
G383,,,0,,,
G384,,,8.85,,,
G385,,,4.55,,,
G387,,,125,,,
G388,,,25.75,,,
G389,,,13.9,,,
G390,,,262.4,,,
G391,,,30.6,,,
G394,,,12,,,
G395,,,57.45,,,
G396,,,24.9,,,
G398,,,63.65,,,
G399,,,44.15,,,
G400,,,223.1,,,
G401,,,146.45,,,
G402,,,58.6,,,
G403,,,21.15,,,
G404,,,61,,,
G405,,,183.8,,,
G406,,,96.45,,,
G407,,,64.2,,,
G408,,,155.9,,,
G409,,,77.95,,,
G410,,,68.4,,,
G411,,,192.1,,,
G412,,,311.9,,,
G413,,,170.85,,,
G414,,,0,25.75,,
G415,,,0,0,23.15,
G417,,,15.9,,,
G418,,,0,0,62.5,
G419,,,20.6,,,
G420,,,13.15,,,
G421,,,27.7,,,
G422,,,34.2,,,
G423,,,90.3,,,
G424,,,201,,,
G425,,,0,0,44.4,
G426,,,9.7,,,
G427,,,9.6,,,
G428,,,0,0,6.85,
G429,,,42.45,,,
G430,,,86.05,,,
G431,,,41.6,,,
G432,,,0,0,26.95,
G433,,,0,0,9.9,
G435,,,5.1,,,
G436,,,0,0,14.5,
G437,,,0,0,22.9,
G438,,,0,0,22.15,
G439,,,0,0,75,
G440,,,0,10.85,,
G441,,,0,18.9,,
G442,,,0,3.44,,
G443,,,0,8.25,,
G444,,,0,0,7,
G448,,,0,22.9,,
G450,,,0,0,5.7,
G451,,,0,19.6,,
G453,,,41.6,,,
G454,,,16.8,,,
G455,,,0,28.9,,
G456,,,0,0,99.9,
G457,,,0,0,61.95,
G458,,,191.7,,,
G460,,,330,,,
G461,,,500,,,
G462,,,1.65,,,
G463,,,90.3,,,
G466,,,0,19.45,,
G470,,,7.85,,,
G471,,,0,28.9,,
G473,,,0,0,275,
G475,,,23.75,,,
G476,,,5.4,,,
G477,,,0,0,5.4,
G478,,,89.7,,,
G479,,,103.4,,,
G480,,,9.9,,,
G481,,,1.37,,,
G482,,,7.35,,,
G483,,,9.7,,,
G485,,,45.45,,,
G486,,,28.5,,,
G487,,,28.5,,,
G488,,,18.8,,,
G489,,,3.54,,,
G490,,,42.3,,,
G493,,,6.25,,,
G494,,,10.2,,,
G495,,,42.3,,,
G496,,,0,0,120,
G497,,,49.8,,,
G498,,,10.2,,,
G499,,,49.8,,,
G500,,,31.8,,,
G501,,,6.25,,,
G509,,,80.4,,,
G510,,,21,,,
G511,,,17.75,,,
G512,,,67.75,,,
G513,,,42.3,,,
G514,,,10.6,,,
G515,,,46.3,,,
G516,,,0,0,36.9,
G517,,,10.05,,,
G518,,,0,0,11.2,
G519,,,0,10.9,J19,
G520,,,21.2,,,
G521,,,111.8,,,
G522,,,38,,,
G523,,,57.65,,,
G524,,,0,0,75,
G525,,,0,0,5.85,
G526,,,0,0,16.45,
G529,,,0,0,1.86,
G530,,,0,0,5.95,
G533,,,0,0,18.3,
G536,,,77.85,,,
G537,,,26.05,,,
G538,,,5.8,,,
G540,,,0,9.55,,
G541,,,0,41.2,,
G542,,,0,24.4,,
G543,,,0,0,120,
G544,,,0,8.75,,
G545,,,0,0,14.7,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
