Billing Code,Category,Description,Charge $,Charge T,Charge P,Charge P1
A011,VIRTUAL CARE SERVICES,"Focused practice repeat consultation by Video,GP focused practice repeat consultation by Video",45.9,,,
A013,,,64.65,,,
A014,,,31.45,,,
A015,,,109.7,,,
A016,,,52.15,,,
A020,,,60,,,
A021,,,164.9,,,
A023,,,43,,,
A024,,,21.9,,,
A025,,,72.15,,,
A026,,,44.45,,,
A027,,,147.3,,,
A033,,,47.3,,,
A034,,,28.6,,,
A035,,,96.2,,,
A036,,,64.1,,,
A043,,,58.25,,,
A044,,,30,,,
A045,,,130.75,,,
A046,,,58.25,,,
A050,,,144.75,,,
A051,,,70.9,,,
A053,,,79.85,,,
A054,,,61.25,,,
A055,,,125.6,,,
A056,,,84.2,,,
A058,,,38.05,,,
A063,,,42.55,,,
A064,,,24.25,,,
A065,,,83.85,,,
A066,,,51.7,,,
A070,,,232.1,,,
A071,,,91.9,,,
A073,,,90.45,,,
A074,,,72.9,,,
A075,,,202.55,,,
A076,,,105.25,,,
A078,,,45.3,,,
A083,,,46.8,,,
A084,,,29.9,,,
A085,,,91.35,,,
A086,,,54,,,
A093,,,46.4,,,
A094,,,25.3,,,
A095,,,94.3,,,
A096,,,62.65,,,
A100,,,76.9,,,
A101,,,20,,,
A102,,,15,,,
A110,,,48.9,,,
A111,,,76.3,,,
A112,,,48.9,,,
A113,,,93.95,,,
A114,,,65.9,,,
A115,,,51.1,,,
A116,,,108.95,,,
A118,,,39.6,,,
A120,,,18.85,,,
A130,,,310.45,,,
A131,,,70.9,,,
A133,,,81.55,,,
A134,,,61.25,,,
A135,,,164.9,,,
A136,,,105.25,,,
A138,,,38.05,,,
A150,,,310.45,,,
A151,,,74.8,,,
A153,,,84.6,,,
A154,,,62.85,,,
A155,,,165.3,,,
A156,,,105.25,,,
A158,,,39.1,,,
A160,,,310.45,,,
A161,,,71.85,,,
A163,,,80.95,,,
A164,,,62.1,,,
A165,,,162.9,,,
A166,,,105.25,,,
A168,,,38.55,,,
A173,,,44.4,,,
A174,,,24.1,,,
A175,,,107.45,,,
A176,,,60,,,
A180,,,310.45,,,
A181,,,75.2,,,
A183,,,82.4,,,
A184,,,64.95,,,
A185,,,184.4,,,
A186,,,87.7,,,
A188,,,39.4,,,
A190,,,310.45,,,
A191,,,237.45,,,
A192,,,237.45,,,
A193,,,86.35,,,
A194,,,41.15,,,
A195,,,222.5,,,
A196,,,105.25,,,
A197,,,237.45,,,
A198,,,237.45,,,
A203,,,52.15,,,
A204,,,33.7,,,
A205,,,111.7,,,
A206,,,59.45,,,
A210,,,163.2,,,
A215,,,69.75,,,
A220,,,310.45,,,
A221,,,38.05,,,
A223,,,401.3,,,
A225,,,167.9,,,
A226,,,105.25,,,
A230,,,25,,,
A231,,,148.5,,,
A233,,,57.7,,,
A234,,,30.5,,,
A235,,,82.4,,,
A236,,,45.85,,,
A237,,,56.6,,,
A239,,,56.6,,,
A243,,,43.2,,,
A244,,,27,,,
A245,,,83.95,,,
A246,,,48.6,,,
A250,,,120,,,
A251,,,120,,,
A252,,,240,,,
A253,,,82.4,,,
A254,,,120,,,
A255,,,105.25,,,
A256,,,163.2,,,
A260,,,310.45,,,
A261,,,21.5,,,
A262,,,43.45,,,
A263,,,82.9,,,
A264,,,61.25,,,
A265,,,181.45,,,
A266,,,91.35,,,
A268,,,64.3,,,
A275,,,105.25,,,
A283,,,82.5,,,
A284,,,38.85,,,
A285,,,163,,,
A286,,,108.95,,,
A310,,,67.8,,,
A311,,,73.95,,,
A313,,,77.2,,,
A315,,,197.3,,,
A316,,,95.25,,,
A318,,,39.7,,,
A325,,,105.25,,,
A330,,,89.5,,,
A331,,,17.75,,,
A332,,,199.7,,,
A335,,,50,,,
A338,,,17.75,,,
A340,,,61.7,,,
A341,,,71.4,,,
A343,,,80.4,,,
A345,,,158.05,,,
A346,,,102.9,,,
A348,,,37.55,,,
A353,,,46.8,,,
